id,name,email,Exams,Tests,Projects,Home Work
1,Carl Bosch,cbosch0@yelp.com,70.24,64.14,89.02,84.32
2,Philis Hoodspeth,phoodspeth1@foxnews.com,97.04,74.78,71.21,73.83
3,Nicholas Kemmett,nkemmett2@youtu.be,98.71,72.52,67.65,93.53
4,Kerri Chitson,kchitson3@huffingtonpost.com,94.64,98.53,80.78,92.2
5,Hans Silverwood,hsilverwood4@narod.ru,73.77,72.77,93.64,90.46
6,Rasia Anan,ranan5@deviantart.com,77.23,70.47,83.06,65.18
7,Marne Greenley,mgreenley6@unicef.org,60.09,68.63,79.17,94.07
8,Marius Sanches,msanches7@redcross.org,88.81,66.88,73.64,63.78
9,Ermin Fairpool,efairpool8@blinklist.com,81.61,71.19,75.05,86.34
10,Chrotoem Boustred,cboustred9@uol.com.br,70.32,79.77,71.49,80.62
11,Jenine Sokell,jsokella@huffingtonpost.com,74.22,93.98,63.07,97.93
12,Cirilo Brizell,cbrizellb@ask.com,92.49,70.76,83.47,67.23
13,Stephi Robjents,srobjentsc@blog.com,66.56,85.67,98.55,93.81
14,Ofilia Yo,oyod@meetup.com,78.19,77.96,88.95,90.45
15,Joaquin Brantl,jbrantle@hatena.ne.jp,91.52,61.28,69.89,80.9
16,Theo Goligly,tgoliglyf@tinypic.com,67.72,77.61,89.33,76.41
17,Daryl Huish,dhuishg@aboutads.info,97.1,99.28,88.39,69.07
18,Yvon Faulder,yfaulderh@tuttocitta.it,92.15,72.5,72.43,67.63
19,Jarrod Lashford,jlashfordi@wufoo.com,98.23,89.46,95.92,80.97
20,Iseabal Meekin,imeekinj@patch.com,98.75,66.76,93.76,63.64
21,Paddie Giovannardi,pgiovannardik@odnoklassniki.ru,90.12,74.68,96.54,71.28
22,Juliette Acock,jacockl@sohu.com,63.27,95.28,67.26,98.43
23,Anni Raycroft,araycroftm@cdc.gov,83.55,60.62,81.78,60.22
24,Lynne McGeorge,lmcgeorgen@a8.net,69.38,90.5,81.46,79.25
25,Jonell Couvert,jcouverto@uiuc.edu,89.38,80.72,67.54,83.02
26,Ralf Dowell,rdowellp@businesswire.com,92.81,93.35,70.66,76.33
27,Aileen Keal,akealq@newyorker.com,91.35,73.74,87.94,71.97
28,Ivory Lowthorpe,ilowthorper@gizmodo.com,99.2,87.79,78.94,68.64
29,Donnie Rigeby,drigebys@cdbaby.com,86.49,86.31,79.03,69.57
30,Sigismund Lunt,sluntt@sakura.ne.jp,81.99,63.71,67.3,71.4
31,Ingmar Kealey,ikealeyu@free.fr,68.23,90.58,61.78,99.85
32,Husein Farrand,hfarrandv@dell.com,77.27,95.09,82.93,91.21
33,Les Muskett,lmuskettw@cnn.com,93.81,63.78,77.98,80.65
34,Alyosha Foote,afootex@gizmodo.com,72.48,96.75,69.06,99.37
35,Nico Ogilvie,nogilviey@theglobeandmail.com,65.29,80.75,80.19,67.17
36,Billie Gally,bgallyz@newsvine.com,86.11,62.03,86.96,60.79
37,Kara-lynn Simonazzi,ksimonazzi10@rediff.com,73.22,69.63,65.57,64.36
38,Joy Hothersall,jhothersall11@shinystat.com,71.02,93.77,91.53,60.95
39,Godwin Ayres,gayres12@howstuffworks.com,85.63,78.63,85.54,79.15
40,Petra Fedorchenko,pfedorchenko13@diigo.com,96.5,70.54,65.02,70.57
41,Madalyn Gerholz,mgerholz14@bbc.co.uk,71.8,69.8,78.91,79.29
42,Junina Joncic,jjoncic15@tuttocitta.it,85.16,71.4,98.13,66.52
43,Juana Rozzier,jrozzier16@census.gov,98.95,85.1,73.44,96.07
44,Solly Stockney,sstockney17@phoca.cz,68.87,88.97,91.67,94.55
45,Shelby Casari,scasari18@exblog.jp,75.12,76.28,96.62,99.05
46,Fiorenze O'Cridigan,focridigan19@moonfruit.com,77.57,72.97,65.97,75.48
47,Tiertza Trundler,ttrundler1a@soundcloud.com,62.35,95.61,71.49,77.07
48,Jaquelin Cuerda,jcuerda1b@wiley.com,94.2,94.21,70.23,96.31
49,Gail Mallinar,gmallinar1c@bluehost.com,92.43,90.42,98.46,76.57
50,Gusella Wintle,gwintle1d@quantcast.com,88.96,78.12,95.25,87.92
